segment_id,chord_type,rootoffset,globalkey
0,m,0,c#
1,M,1,c#
2,m,0,c#
3,M,1,c#
4,m,0,c#
5,M,2,c#
6,Mm7,2,c#
7,m,1,c#
8,Mm7,1,c#
9,m,0,c#
10,Mm7,1,c#
11,m,0,c#
12,M,2,c#
13,M,1,c#
14,m,0,c#
15,Mm7,1,c#
16,m,0,c#
17,Mm7,1,c#
18,m,0,c#
19,M,1,c#
20,m,0,c#
21,Mm7,1,c#
22,m,0,c#
23,Mm7,1,c#
24,m,0,c#
25,Mm7,1,c#
26,M,1,c#
27,o7,3,c#
28,Mm7,1,c#
29,m,0,c#
30,Mm7,1,c#
31,o7,3,c#
32,Mm7,1,c#
33,m,0,c#
34,M,1,c#
35,m,0,c#
36,M,1,c#
37,m,0,c#
38,Mm7,1,c#
39,m,0,c#
40,o,2,c#
41,M,1,c#
42,Mm7,1,c#
43,m,0,c#
44,Mm7,1,c#
45,m,0,c#
46,M,2,c#
47,Mm7,2,c#
48,m,1,c#
49,Mm7,1,c#
50,m,0,c#
51,Mm7,1,c#
52,m,0,c#
53,m,5,c#
54,M,3,c#
55,M,2,c#
56,Mm7,3,c#
57,M,2,c#
58,Mm7,3,c#
59,M,2,c#
60,Mm7,3,c#
61,M,2,c#
62,Mm7,3,c#
63,M,2,c#
64,Mm7,2,c#
65,o7,2,c#
66,o7,1,c#
67,o7,2,c#
68,M,3,c#
69,Mm7,3,c#
70,Mm7,2,c#
71,M,1,c#
72,Mm7,3,c#
73,M,2,c#
74,Mm7,0,c#
75,m,5,c#
76,M,0,c#
77,m,5,c#
78,M,0,c#
79,m,5,c#
80,M,1,c#
81,Mm7,1,c#
82,m,0,c#
83,M,0,c#
84,Mm7,0,c#
85,m,5,c#
86,Mm7,0,c#
87,M,0,c#
88,Mm7,0,c#
89,m,5,c#
90,Mm7,0,c#
91,m,5,c#
92,m,3,c#
93,Mm7,0,c#
94,m,5,c#
95,o7,1,c#
96,m,3,c#
97,Mm7,5,c#
98,m,3,c#
99,M,0,c#
100,m,5,c#
101,Mm7,0,c#
102,m,5,c#
103,Mm7,5,c#
104,m,3,c#
105,Mm7,5,c#
106,m,3,c#
107,Mm7,3,c#
108,m,2,c#
109,Mm7,3,c#
110,m,2,c#
111,Mm7,5,c#
112,m,3,c#
113,Mm7,5,c#
114,m,3,c#
115,M,5,c#
116,m,3,c#
117,Mm7,1,c#
118,M,2,c#
119,M,1,c#
120,Mm7,1,c#
121,M,2,c#
122,mm7,3,c#
123,m,2,c#
124,Mm7,1,c#
125,M,2,c#
126,o,2,c#
127,m,2,c#
128,Mm7,3,c#
129,m,2,c#
130,M,1,c#
131,Mm7,1,c#
132,M,2,c#
133,mm7,3,c#
134,m,2,c#
135,Mm7,1,c#
136,M,2,c#
137,Mm7,1,c#
138,M,2,c#
139,o,3,c#
140,m,0,c#
141,Mm7,1,c#
142,m,0,c#
143,Mm7,1,c#
144,m,0,c#
145,Mm7,1,c#
146,m,0,c#
147,Mm7,1,c#
148,m,0,c#
149,Mm7,1,c#
150,m,0,c#
151,Mm7,1,c#
152,m,0,c#
153,Mm7,1,c#
154,m,0,c#
155,Mm7,1,c#
156,m,0,c#
157,M,1,c#
158,Mm7,1,c#
159,m,0,c#
160,M,1,c#
161,Mm7,1,c#
162,M,0,c#
163,Mm7,0,c#
164,m,5,c#
165,Mm7,0,c#
166,m,5,c#
167,Mm7,0,c#
168,m,5,c#
