segment_id,chordtype,rootoffset,globalkey
0,M,0,F
1,M,7,F
2,M,9,F
3,m,2,F
4,M,9,F
5,M,11,F
6,m,4,F
7,M,11,F
8,m,4,F
9,M7,2,F
10,M,7,F
11,M7,2,F
12,M,7,F
13,M,3,F
