,index,interval,mc,mn,quarterbeats,duration_qb,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,pedal,chord,numeral,form,figbass,changes,cadence,phraseend,chord_type,globalkey_is_minor,chord_tones,added_tones,root,bass_note,special,pedalend,volta,harmony_layer,regex_match
67,67,"[118.5, 119.0)",41,40,237/2,0.5,1/8,1/8,3/4,2,1,IV6,,C,,IV6,IV,,6,,,,M,False,"(3, 0, -1)",(),-1,3,,,,,
68,68,"[119.0, 120.0)",41,40,119,1.0,1/4,1/4,3/4,2,1,viio,,C,,viio,vii,o,,,,,o,False,"(5, 2, -1)",(),5,5,,,,,
69,69,"[120.0, 121.0)",41,40,120,1.0,1/2,1/2,3/4,2,1,V7|HC}{,,C,,V7,V,,7,,HC,}{,Mm7,False,"(1, 5, 2, -1)",(),1,1,,,,,
70,70,"[121.0, 124.0)",42,41,121,3.0,0,0,3/4,2,1,I[I,,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
71,71,"[124.0, 125.0)",43,42,124,1.0,0,0,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
72,72,"[125.0, 126.0)",43,42,125,1.0,1/4,1/4,3/4,2,1,V2(9)/V,,C,I,II2(9),II,,2,9,,,Mm7,False,"(0, 2, 6, 3)","(4,)",2,0,,,,,
73,73,"[126.0, 127.0)",43,42,126,1.0,1/2,1/2,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
74,74,"[127.0, 130.0)",44,43,127,3.0,0,0,3/4,2,1,viio43,,C,I,viio43,vii,o,43,,,,o7,False,"(-1, -4, 5, 2)",(),5,-1,,,,,
75,75,"[130.0, 131.0)",45,44,130,1.0,0,0,3/4,2,1,I,,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
76,76,"[131.0, 132.0)",45,44,131,1.0,1/4,1/4,3/4,2,1,I(9),,C,I,I(9),I,,,9,,,M,False,"(0, 4, 1)","(2,)",0,0,,,,,
77,77,"[132.0, 133.0)",45,44,132,1.0,1/2,1/2,3/4,2,1,I],,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
78,78,"[133.0, 136.0)",46,45,133,3.0,0,0,3/4,2,1,V65/V,,C,,II65,II,,65,,,,Mm7,False,"(6, 3, 0, 2)",(),2,6,,,,,
79,79,"[136.0, 139.0)",47,46,136,3.0,0,0,3/4,2,1,V(64),,C,,V(64),V,,,64,,,M,False,"(1, 0, 4)",(),1,1,,,,,
80,80,"[139.0, 142.0)",48,47,139,3.0,0,0,3/4,2,1,V7,,C,,V7,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,,,,
81,81,"[142.0, 144.0)",49,48,142,2.0,0,0,3/4,2,1,I[I(6#4#2)},,C,I,I(6#4#2),I,,,6#4#2,,},M,False,"(0, 9, 6, 3)",(),0,0,,,,,
82,82,"[144.0, 148.0)",49,48,144,4.0,1/2,1/2,3/4,2,1,I|IAC,,C,I,I,I,,,,IAC,,M,False,"(0, 4, 1)",(),0,0,,,,,
83,83,"[145.0, 145.0)",50,49,145,0.0,0,0,3/4,2,1,{,,C,I,,,,,,,{,,False,(),(),,,,,,,
